"","disorder","sex","age","CIF","CIF_lb","CIF_ub","IR","IR_lb","IR_ub","disorder_group","disorder_full"
"1","SU","F",0,0,0,0,0,0,0,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"2","SU","F",10,0,0,0,1.05,0.97,1.15,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"3","SU","F",10.5,0,0,0,1.27,1.17,1.38,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"4","SU","F",11,0,0,0,1.54,1.42,1.66,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"5","SU","F",11.5,0,0,0,1.85,1.73,1.99,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"6","SU","F",12,0,0,0,2.24,2.1,2.38,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"7","SU","F",12.5,0,0,0,2.7,2.54,2.86,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"8","SU","F",13,0,0,0,3.25,3.08,3.43,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"9","SU","F",13.5,0.01,0,0.01,3.9,3.72,4.09,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"10","SU","F",14,0.01,0.01,0.01,4.67,4.47,4.87,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"11","SU","F",14.5,0.03,0.03,0.03,5.55,5.35,5.77,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"12","SU","F",15,0.05,0.05,0.06,6.56,6.34,6.79,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"13","SU","F",15.5,0.09,0.08,0.09,7.69,7.45,7.94,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"14","SU","F",16,0.13,0.12,0.13,8.93,8.67,9.19,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"15","SU","F",16.5,0.17,0.17,0.18,10.25,9.97,10.53,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"16","SU","F",17,0.22,0.22,0.23,11.62,11.32,11.93,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"17","SU","F",17.5,0.28,0.28,0.29,12.99,12.66,13.34,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"18","SU","F",18,0.35,0.35,0.36,14.31,13.94,14.69,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"19","SU","F",18.5,0.43,0.42,0.44,15.51,15.1,15.92,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"20","SU","F",19,0.51,0.51,0.52,16.5,16.07,16.94,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"21","SU","F",19.5,0.61,0.6,0.62,17.23,16.78,17.69,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"22","SU","F",20,0.69,0.68,0.7,17.61,17.16,18.08,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"23","SU","F",20.5,0.78,0.77,0.79,17.63,17.18,18.09,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"24","SU","F",21,0.87,0.85,0.88,17.3,16.87,17.73,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"25","SU","F",21.5,0.94,0.93,0.95,16.67,16.27,17.09,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"26","SU","F",22,1.01,1,1.02,15.83,15.45,16.21,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"27","SU","F",22.5,1.07,1.06,1.08,14.83,14.48,15.19,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"28","SU","F",23,1.13,1.12,1.15,13.74,13.41,14.08,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"29","SU","F",23.5,1.2,1.19,1.21,12.63,12.31,12.95,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"30","SU","F",24,1.26,1.25,1.27,11.52,11.22,11.84,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"31","SU","F",24.5,1.31,1.3,1.32,10.47,10.17,10.78,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"32","SU","F",25,1.36,1.35,1.37,9.5,9.21,9.8,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"33","SU","F",25.5,1.41,1.39,1.42,8.62,8.34,8.91,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"34","SU","F",26,1.45,1.44,1.47,7.83,7.56,8.12,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"35","SU","F",26.5,1.49,1.48,1.51,7.16,6.9,7.43,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"36","SU","F",27,1.53,1.51,1.54,6.58,6.33,6.84,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"37","SU","F",27.5,1.57,1.55,1.58,6.11,5.87,6.36,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"38","SU","F",28,1.6,1.59,1.62,5.73,5.51,5.97,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"39","SU","F",28.5,1.64,1.63,1.66,5.45,5.24,5.67,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"40","SU","F",29,1.68,1.66,1.69,5.25,5.05,5.46,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"41","SU","F",29.5,1.71,1.69,1.72,5.11,4.92,5.31,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"42","SU","F",30,1.74,1.72,1.75,5.03,4.85,5.22,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"43","SU","F",30.5,1.77,1.75,1.78,4.99,4.82,5.18,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"44","SU","F",31,1.8,1.78,1.81,5,4.83,5.18,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"45","SU","F",31.5,1.83,1.81,1.84,5.04,4.88,5.22,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"46","SU","F",32,1.86,1.84,1.87,5.12,4.95,5.29,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"47","SU","F",32.5,1.88,1.87,1.9,5.22,5.05,5.4,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"48","SU","F",33,1.91,1.9,1.93,5.35,5.17,5.53,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"49","SU","F",33.5,1.94,1.92,1.95,5.5,5.31,5.69,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"50","SU","F",34,1.96,1.95,1.98,5.66,5.46,5.86,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"51","SU","F",34.5,1.99,1.97,2.01,5.83,5.62,6.05,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"52","SU","F",35,2.02,2,2.03,6.01,5.79,6.24,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"53","SU","F",35.5,2.04,2.03,2.06,6.18,5.95,6.42,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"54","SU","F",36,2.07,2.05,2.09,6.35,6.11,6.6,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"55","SU","F",36.5,2.09,2.08,2.11,6.5,6.26,6.75,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"56","SU","F",37,2.12,2.1,2.14,6.64,6.4,6.89,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"57","SU","F",37.5,2.14,2.13,2.16,6.76,6.52,7,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"58","SU","F",38,2.17,2.16,2.19,6.86,6.64,7.1,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"59","SU","F",38.5,2.2,2.19,2.22,6.95,6.73,7.18,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"60","SU","F",39,2.23,2.22,2.25,7.03,6.82,7.25,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"61","SU","F",39.5,2.26,2.24,2.28,7.1,6.89,7.31,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"62","SU","F",40,2.29,2.27,2.31,7.15,6.95,7.37,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"63","SU","F",40.5,2.32,2.31,2.34,7.2,6.99,7.41,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"64","SU","F",41,2.35,2.33,2.37,7.24,7.03,7.46,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"65","SU","F",41.5,2.38,2.36,2.4,7.27,7.05,7.5,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"66","SU","F",42,2.41,2.39,2.43,7.3,7.07,7.53,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"67","SU","F",42.5,2.44,2.42,2.46,7.32,7.09,7.57,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"68","SU","F",43,2.47,2.45,2.49,7.35,7.11,7.6,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"69","SU","F",43.5,2.51,2.49,2.52,7.37,7.12,7.63,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"70","SU","F",44,2.54,2.52,2.56,7.4,7.15,7.66,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"71","SU","F",44.5,2.57,2.55,2.59,7.43,7.18,7.69,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"72","SU","F",45,2.61,2.59,2.62,7.47,7.22,7.72,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"73","SU","F",45.5,2.64,2.62,2.66,7.5,7.26,7.75,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"74","SU","F",46,2.68,2.66,2.7,7.54,7.3,7.78,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"75","SU","F",46.5,2.71,2.69,2.73,7.57,7.34,7.8,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"76","SU","F",47,2.75,2.73,2.77,7.59,7.38,7.82,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"77","SU","F",47.5,2.78,2.76,2.8,7.62,7.4,7.83,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"78","SU","F",48,2.81,2.79,2.83,7.63,7.42,7.84,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"79","SU","F",48.5,2.85,2.83,2.87,7.63,7.42,7.84,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"80","SU","F",49,2.88,2.86,2.9,7.62,7.41,7.84,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
"81","SU","F",49.5,2.92,2.9,2.94,7.6,7.38,7.82,"Broad category","Mental and behavioral disorders due psychoactive substance abuse"
